Date,Open,High,Low,Close,Date_add,Symbol,week_of_year,week_day,avg_daily_price,Year,Month,Week
2024-07-05 00:00:00-04:00,40.49386215209961,40.55915950300642,40.19535895982885,40.49386215209961,2024-07-05,HSBC,27,Friday,40.435560691758624,2024,7,27
2024-07-08 00:00:00-04:00,40.69907766622807,40.7643750062812,40.335277183521164,40.41923141479492,2024-07-08,HSBC,28,Monday,40.55449031770634,2024,7,28
2024-07-09 00:00:00-04:00,39.81289665617723,40.26997805665788,39.80356643093737,40.092742919921875,2024-07-09,HSBC,28,Tuesday,39.99479601592359,2024,7,28
2024-07-10 00:00:00-04:00,40.08341707818294,40.381920240113274,40.05542996032558,40.29796600341797,2024-07-10,HSBC,28,Wednesday,40.20468332050994,2024,7,28
2024-07-11 00:00:00-04:00,40.50317933065244,40.5778068904552,40.40989843933691,40.44721221923828,2024-07-11,HSBC,28,Thursday,40.48452421992071,2024,7,28
2024-07-12 00:00:00-04:00,40.71774004498187,40.93228898527667,40.643112470041785,40.83900451660156,2024-07-12,HSBC,28,Friday,40.78303650422547,2024,7,28
2024-07-15 00:00:00-04:00,40.42855872479779,40.58713696504044,40.26997692611693,40.3446044921875,2024-07-15,HSBC,29,Monday,40.40756927703566,2024,7,29
2024-07-16 00:00:00-04:00,40.11139407077022,40.62444607394135,40.008782958448435,40.60578918457031,2024-07-16,HSBC,29,Tuesday,40.33760307193258,2024,7,29
2024-07-17 00:00:00-04:00,40.62444882749696,40.74571683740942,40.52183770822012,40.57780838012695,2024-07-17,HSBC,29,Wednesday,40.61745293831336,2024,7,29
2024-07-18 00:00:00-04:00,40.61512682548948,40.661767278215514,40.05543071746182,40.13005828857422,2024-07-18,HSBC,29,Thursday,40.36559577743526,2024,7,29
2024-07-19 00:00:00-04:00,39.90617687646812,40.20468002715664,39.8408795346574,39.980804443359375,2024-07-19,HSBC,29,Friday,39.98313522041038,2024,7,29
2024-07-22 00:00:00-04:00,40.56848446758553,40.615124918121225,40.29796487266489,40.549827575683594,2024-07-22,HSBC,30,Monday,40.50785045851381,2024,7,30
2024-07-23 00:00:00-04:00,40.16737237043263,40.38192130130577,40.139385251839805,40.325950622558594,2024-07-23,HSBC,30,Tuesday,40.2536573865342,2024,7,30
2024-07-24 00:00:00-04:00,40.22334102555848,40.335282387324234,39.980808525276586,39.990135192871094,2024-07-24,HSBC,30,Wednesday,40.1323917827576,2024,7,30
2024-07-25 00:00:00-04:00,39.91551012011542,40.21401329337792,39.76625853348418,39.96215057373047,2024-07-25,HSBC,30,Thursday,39.964483130176994,2024,7,30
2024-07-26 00:00:00-04:00,39.88752059443534,40.456543346144926,39.859537035642504,40.372589111328125,2024-07-26,HSBC,30,Friday,40.14404752188773,2024,7,30
2024-07-29 00:00:00-04:00,40.48453125752411,40.52184148383367,40.26997877444272,40.3912467956543,2024-07-29,HSBC,31,Monday,40.4168995778637,2024,7,31
2024-07-30 00:00:00-04:00,40.5404918509906,40.736383851729755,40.50317807224853,40.60578918457031,2024-07-30,HSBC,31,Tuesday,40.596460739884805,2024,7,31
2024-07-31 00:00:00-04:00,41.781153131665505,42.47144032593394,41.68786867403584,42.11697006225586,2024-07-31,HSBC,31,Wednesday,42.014358048472786,2024,7,31
2024-08-01 00:00:00-04:00,40.046101703516065,40.12072571181692,39.26253004494685,39.60767364501953,2024-08-01,HSBC,31,Thursday,39.759257776324844,2024,8,31
2024-08-02 00:00:00-04:00,38.65619129448985,38.79611619485177,38.161796147836995,38.525596618652344,2024-08-02,HSBC,31,Friday,38.53492506395774,2024,8,31
2024-08-05 00:00:00-04:00,36.9677805527176,37.89127343157438,36.77188499675724,37.704708099365234,2024-08-05,HSBC,32,Monday,37.33391177010361,2024,8,32
