Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close
2018-02-05,Monday,MSFT,DCA_Monthly,82.88,DCA,1.2065,100.0,57.68455,3100.0,4677.48,81.09
2018-03-05,Monday,MSFT,DCA_Monthly,86.22,DCA,1.15989,100.0,58.84444,3200.0,5101.2,86.69
2018-04-02,Monday,MSFT,DCA_Monthly,82.71,DCA,1.20899,100.0,60.05343,3300.0,4921.36,81.95
2018-05-07,Monday,MSFT,DCA_Monthly,88.69,DCA,1.12753,100.0,61.18096,3400.0,5449.88,89.08
2018-06-04,Monday,MSFT,DCA_Monthly,94.29,DCA,1.06056,100.0,62.24152,3500.0,5883.78,94.53
2018-07-02,Monday,MSFT,DCA_Monthly,92.09,DCA,1.08591,100.0,63.32744,3600.0,5888.7,92.99
2018-08-06,Monday,MSFT,DCA_Monthly,100.47,DCA,0.99532,100.0,64.32275,3700.0,6466.88,100.54
2018-09-10,Monday,MSFT,DCA_Monthly,101.79,DCA,0.98243,100.0,65.30519,3800.0,6667.11,102.09
2018-10-01,Monday,MSFT,DCA_Monthly,107.52,DCA,0.93009,100.0,66.23527,3900.0,7147.21,107.91
2018-11-05,Monday,MSFT,DCA_Monthly,99.76,DCA,1.00242,100.0,67.2377,4000.0,6747.04,100.35
2018-12-03,Monday,MSFT,DCA_Monthly,105.28,DCA,0.94986,100.0,68.18755,4100.0,7164.66,105.07
2019-01-07,Monday,MSFT,DCA_Monthly,95.6,DCA,1.04599,100.0,69.23355,4200.0,6623.63,95.67
2019-02-04,Monday,MSFT,DCA_Monthly,97.77,DCA,1.02285,100.0,70.2564,4300.0,6963.85,99.12
2019-03-04,Monday,MSFT,DCA_Monthly,105.75,DCA,0.94563,100.0,71.20203,4400.0,7524.75,105.68
2019-04-01,Monday,MSFT,DCA_Monthly,111.83,DCA,0.89418,100.0,72.09621,4500.0,8078.06,112.05
2019-05-06,Monday,MSFT,DCA_Monthly,119.84,DCA,0.83443,100.0,72.93064,4600.0,8798.39,120.64
2019-06-03,Monday,MSFT,DCA_Monthly,115.06,DCA,0.86914,100.0,73.79978,4700.0,8356.73,113.24
2019-07-01,Monday,MSFT,DCA_Monthly,128.5,DCA,0.77821,100.0,74.57799,4800.0,9561.06,128.2
