Date_add,Weekday,Symbol,Strategy,Buy_Price,Buy_Level,Shares Purchased,Dollars Invested,Cumulative Shares,Cumulative Invested,Cumulative Value,Close,Previous_Close,Low
"2025-02-24","Sunday","TQQQ","Buy_on_Dip",79.4356,"1%",1,79.4356,62,5068.9601,4784.8904,77.1757,80.238,75.34618105292677
"2025-02-24","Sunday","TQQQ","Buy_on_Dip",78.6333,"2%",1,78.6333,63,5147.5934,4862.066,77.1757,80.238,75.34618105292677
"2025-02-24","Sunday","TQQQ","Buy_on_Dip",77.8309,"3%",1,77.8309,64,5225.4243,4939.2417,77.1757,80.238,75.34618105292677
"2025-02-24","Sunday","TQQQ","Buy_on_Dip",77.0285,"4%",1,77.0285,65,5302.4528,5016.4174,77.1757,80.238,75.34618105292677
"2025-02-24","Sunday","TQQQ","Buy_on_Dip",76.2261,"5%",1,76.2261,66,5378.6789,5093.593,77.1757,80.238,75.34618105292677
"2025-02-25","Monday","TQQQ","Buy_on_Dip",76.4039,"1%",1,76.4039,67,5455.0828,5204.077,77.6728,77.1757,76.2509765200111
"2025-02-26","Tuesday","TQQQ","Buy_on_Dip",76.8961,"1%",1,76.8961,68,5531.9788,4843.6319,71.2299,77.6728,71.07080118453143
"2025-02-26","Tuesday","TQQQ","Buy_on_Dip",76.1193,"2%",1,76.1193,69,5608.0982,4914.8618,71.2299,77.6728,71.07080118453143
"2025-02-26","Tuesday","TQQQ","Buy_on_Dip",75.3426,"3%",1,75.3426,70,5683.4408,4986.0917,71.2299,77.6728,71.07080118453143
"2025-02-26","Tuesday","TQQQ","Buy_on_Dip",74.5659,"4%",1,74.5659,71,5758.0066,5057.3216,71.2299,77.6728,71.07080118453143
"2025-02-26","Tuesday","TQQQ","Buy_on_Dip",73.7892,"5%",1,73.7892,72,5831.7958,5128.5515,71.2299,77.6728,71.07080118453143
"2025-02-27","Wednesday","TQQQ","Buy_on_Dip",70.5176,"1%",1,70.5176,73,5902.3134,5437.8506,74.4911,71.2299,69.67881528472296
"2025-02-27","Wednesday","TQQQ","Buy_on_Dip",69.8053,"2%",1,69.8053,74,5972.1187,5512.3417,74.4911,71.2299,69.67881528472296
"2025-03-02","Saturday","TQQQ","Buy_on_Dip",73.7462,"1%",1,73.7462,75,6045.8649,5225.9113,69.6788,74.4911,68.0482067959115
"2025-03-02","Saturday","TQQQ","Buy_on_Dip",73.0013,"2%",1,73.0013,76,6118.8661,5295.5901,69.6788,74.4911,68.0482067959115
"2025-03-02","Saturday","TQQQ","Buy_on_Dip",72.2564,"3%",1,72.2564,77,6191.1225,5365.269,69.6788,74.4911,68.0482067959115
"2025-03-02","Saturday","TQQQ","Buy_on_Dip",71.5115,"4%",1,71.5115,78,6262.634,5434.9478,69.6788,74.4911,68.0482067959115
"2025-03-02","Saturday","TQQQ","Buy_on_Dip",70.7665,"5%",1,70.7665,79,6333.4005,5504.6266,69.6788,74.4911,68.0482067959115
"2025-03-03","Sunday","TQQQ","Buy_on_Dip",68.982,"1%",1,68.982,80,6402.3825,5513.0573,68.9132,69.6788,65.63211184044431
"2025-03-03","Sunday","TQQQ","Buy_on_Dip",68.2852,"2%",1,68.2852,81,6470.6678,5581.9705,68.9132,69.6788,65.63211184044431
"2025-03-03","Sunday","TQQQ","Buy_on_Dip",67.5885,"3%",1,67.5885,82,6538.2562,5650.8837,68.9132,69.6788,65.63211184044431
"2025-03-03","Sunday","TQQQ","Buy_on_Dip",66.8917,"4%",1,66.8917,83,6605.1479,5719.7969,68.9132,69.6788,65.63211184044431
"2025-03-03","Sunday","TQQQ","Buy_on_Dip",66.1949,"5%",1,66.1949,84,6671.3428,5788.7101,68.9132,69.6788,65.63211184044431
"2025-03-04","Monday","TQQQ","Buy_on_Dip",68.2241,"1%",1,68.2241,85,6739.5669,6085.8099,71.5978,68.9132,67.10363467190759
"2025-03-04","Monday","TQQQ","Buy_on_Dip",67.535,"2%",1,67.535,86,6807.1018,6157.4076,71.5978,68.9132,67.10363467190759
"2025-03-05","Tuesday","TQQQ","Buy_on_Dip",70.8818,"1%",1,70.8818,87,6877.9836,5712.5896,65.6619,71.5978,64.79692681790276
"2025-03-05","Tuesday","TQQQ","Buy_on_Dip",70.1658,"2%",1,70.1658,88,6948.1494,5778.2515,65.6619,71.5978,64.79692681790276
"2025-03-05","Tuesday","TQQQ","Buy_on_Dip",69.4498,"3%",1,69.4498,89,7017.5992,5843.9135,65.6619,71.5978,64.79692681790276
"2025-03-05","Tuesday","TQQQ","Buy_on_Dip",68.7339,"4%",1,68.7339,90,7086.3331,5909.5754,65.6619,71.5978,64.79692681790276
"2025-03-05","Tuesday","TQQQ","Buy_on_Dip",68.0179,"5%",1,68.0179,91,7154.351,5975.2374,65.6619,71.5978,64.79692681790276
"2025-03-06","Wednesday","TQQQ","Buy_on_Dip",65.0053,"1%",1,65.0053,92,7219.3563,6166.2173,67.0241,65.6619,62.52997267724753
"2025-03-06","Wednesday","TQQQ","Buy_on_Dip",64.3487,"2%",1,64.3487,93,7283.705,6233.2414,67.0241,65.6619,62.52997267724753
"2025-03-06","Wednesday","TQQQ","Buy_on_Dip",63.6921,"3%",1,63.6921,94,7347.3971,6300.2655,67.0241,65.6619,62.52997267724753
"2025-03-06","Wednesday","TQQQ","Buy_on_Dip",63.0355,"4%",1,63.0355,95,7410.4326,6367.2896,67.0241,65.6619,62.52997267724753
"2025-03-09","Saturday","TQQQ","Buy_on_Dip",66.3539,"1%",1,66.3539,96,7476.7864,5708.8905,59.4676,67.0241,57.54865769735098
"2025-03-09","Saturday","TQQQ","Buy_on_Dip",65.6836,"2%",1,65.6836,97,7542.47,5768.3581,59.4676,67.0241,57.54865769735098
"2025-03-09","Saturday","TQQQ","Buy_on_Dip",65.0134,"3%",1,65.0134,98,7607.4834,5827.8257,59.4676,67.0241,57.54865769735098
"2025-03-09","Saturday","TQQQ","Buy_on_Dip",64.3431,"4%",1,64.3431,99,7671.8266,5887.2933,59.4676,67.0241,57.54865769735098
"2025-03-09","Saturday","TQQQ","Buy_on_Dip",63.6729,"5%",1,63.6729,100,7735.4995,5946.7609,59.4676,67.0241,57.54865769735098
"2025-03-10","Sunday","TQQQ","Buy_on_Dip",58.8729,"1%",1,58.8729,101,7794.3724,5935.933,58.7716,59.4676,57.0415733695766
"2025-03-10","Sunday","TQQQ","Buy_on_Dip",58.2783,"2%",1,58.2783,102,7852.6507,5994.7046,58.7716,59.4676,57.0415733695766
"2025-03-10","Sunday","TQQQ","Buy_on_Dip",57.6836,"3%",1,57.6836,103,7910.3342,6053.4762,58.7716,59.4676,57.0415733695766
"2025-03-10","Sunday","TQQQ","Buy_on_Dip",57.0889,"4%",1,57.0889,104,7967.4231,6112.2479,58.7716,59.4676,57.0415733695766
"2025-03-12","Tuesday","TQQQ","Buy_on_Dip",60.1723,"1%",1,60.1723,105,8027.5954,6033.213,57.4592,60.7801,56.713464809811114
"2025-03-12","Tuesday","TQQQ","Buy_on_Dip",59.5645,"2%",1,59.5645,106,8087.1598,6090.6722,57.4592,60.7801,56.713464809811114
"2025-03-12","Tuesday","TQQQ","Buy_on_Dip",58.9567,"3%",1,58.9567,107,8146.1165,6148.1313,57.4592,60.7801,56.713464809811114
"2025-03-12","Tuesday","TQQQ","Buy_on_Dip",58.3489,"4%",1,58.3489,108,8204.4653,6205.5905,57.4592,60.7801,56.713464809811114
"2025-03-12","Tuesday","TQQQ","Buy_on_Dip",57.741,"5%",1,57.741,109,8262.2064,6263.0497,57.4592,60.7801,56.713464809811114
"2025-03-16","Saturday","TQQQ","Buy_on_Dip",60.9203,"1%",1,60.9203,110,8323.1267,6900.1715,62.7288,61.5357,60.799939423256525
"2025-03-17","Sunday","TQQQ","Buy_on_Dip",62.1015,"1%",1,62.1015,111,8385.2283,6611.941,59.567,62.7288,58.67218634878993
"2025-03-17","Sunday","TQQQ","Buy_on_Dip",61.4743,"2%",1,61.4743,112,8446.7025,6671.508,59.567,62.7288,58.67218634878993
"2025-03-17","Sunday","TQQQ","Buy_on_Dip",60.847,"3%",1,60.847,113,8507.5495,6731.075,59.567,62.7288,58.67218634878993
"2025-03-17","Sunday","TQQQ","Buy_on_Dip",60.2197,"4%",1,60.2197,114,8567.7692,6790.6421,59.567,62.7288,58.67218634878993
"2025-03-17","Sunday","TQQQ","Buy_on_Dip",59.5924,"5%",1,59.5924,115,8627.3616,6850.2091,59.567,62.7288,58.67218634878993
"2025-03-19","Tuesday","TQQQ","Buy_on_Dip",61.2649,"1%",1,61.2649,116,8688.6264,7104.6933,61.2474,61.8837,60.024398261881466
"2025-03-19","Tuesday","TQQQ","Buy_on_Dip",60.646,"2%",1,60.646,117,8749.2725,7165.9407,61.2474,61.8837,60.024398261881466
"2025-03-19","Tuesday","TQQQ","Buy_on_Dip",60.0272,"3%",1,60.0272,118,8809.2996,7227.1881,61.2474,61.8837,60.024398261881466
"2025-03-20","Wednesday","TQQQ","Buy_on_Dip",60.6349,"1%",1,60.6349,119,8869.9345,7357.0607,61.824,61.2474,58.731842619264924
"2025-03-20","Wednesday","TQQQ","Buy_on_Dip",60.0224,"2%",1,60.0224,120,8929.9569,7418.8847,61.824,61.2474,58.731842619264924
"2025-03-20","Wednesday","TQQQ","Buy_on_Dip",59.4099,"3%",1,59.4099,121,8989.3669,7480.7088,61.824,61.2474,58.731842619264924
"2025-03-20","Wednesday","TQQQ","Buy_on_Dip",58.7975,"4%",1,58.7975,122,9048.1643,7542.5328,61.824,61.2474,58.731842619264924
"2025-03-25","Monday","TQQQ","Buy_on_Dip",66.2554,"1%",1,66.2554,123,9114.4197,7773.9802,63.2031,66.9247,62.58481851332139
"2025-03-25","Monday","TQQQ","Buy_on_Dip",65.5862,"2%",1,65.5862,124,9180.0059,7837.1832,63.2031,66.9247,62.58481851332139
"2025-03-25","Monday","TQQQ","Buy_on_Dip",64.9169,"3%",1,64.9169,125,9244.9229,7900.3863,63.2031,66.9247,62.58481851332139
"2025-03-25","Monday","TQQQ","Buy_on_Dip",64.2477,"4%",1,64.2477,126,9309.1705,7963.5894,63.2031,66.9247,62.58481851332139
"2025-03-25","Monday","TQQQ","Buy_on_Dip",63.5784,"5%",1,63.5784,127,9372.749,8026.7925,63.2031,66.9247,62.58481851332139
"2025-03-26","Tuesday","TQQQ","Buy_on_Dip",62.5711,"1%",1,62.5711,128,9435.32,7952.1411,62.1261,63.2031,61.57763841274057
"2025-03-26","Tuesday","TQQQ","Buy_on_Dip",61.939,"2%",1,61.939,129,9497.2591,8014.2672,62.1261,63.2031,61.57763841274057
"2025-03-27","Wednesday","TQQQ","Buy_on_Dip",61.5048,"1%",1,61.5048,130,9558.7639,7433.3931,57.1799,62.1261,56.810980746262494
"2025-03-27","Wednesday","TQQQ","Buy_on_Dip",60.8836,"2%",1,60.8836,131,9619.6475,7490.573,57.1799,62.1261,56.810980746262494
"2025-03-27","Wednesday","TQQQ","Buy_on_Dip",60.2623,"3%",1,60.2623,132,9679.9098,7547.753,57.1799,62.1261,56.810980746262494
"2025-03-27","Wednesday","TQQQ","Buy_on_Dip",59.6411,"4%",1,59.6411,133,9739.5509,7604.9329,57.1799,62.1261,56.810980746262494
"2025-03-27","Wednesday","TQQQ","Buy_on_Dip",59.0198,"5%",1,59.0198,134,9798.5707,7662.1129,57.1799,62.1261,56.810980746262494
"2025-03-30","Saturday","TQQQ","Buy_on_Dip",56.6081,"1%",1,56.6081,135,9855.1788,7713.9082,57.1401,57.1799,52.89195283766642
"2025-03-30","Saturday","TQQQ","Buy_on_Dip",56.0363,"2%",1,56.0363,136,9911.2151,7771.0482,57.1401,57.1799,52.89195283766642
"2025-03-30","Saturday","TQQQ","Buy_on_Dip",55.4645,"3%",1,55.4645,137,9966.6797,7828.1883,57.1401,57.1799,52.89195283766642
"2025-03-30","Saturday","TQQQ","Buy_on_Dip",54.8927,"4%",1,54.8927,138,10021.5724,7885.3283,57.1401,57.1799,52.89195283766642
"2025-03-30","Saturday","TQQQ","Buy_on_Dip",54.3209,"5%",1,54.3209,139,10075.8934,7942.4684,57.1401,57.1799,52.89195283766642
"2025-03-31","Sunday","TQQQ","Buy_on_Dip",56.5687,"1%",1,56.5687,140,10132.4621,8183.8925,58.4564,57.1401,55.46474890982854
"2025-03-31","Sunday","TQQQ","Buy_on_Dip",55.9973,"2%",1,55.9973,141,10188.4593,8242.3489,58.4564,57.1401,55.46474890982854
"2025-04-01","Monday","TQQQ","Buy_on_Dip",57.8718,"1%",1,57.8718,142,10246.3311,8486.306,59.7627,58.4564,55.93343660814082
"2025-04-01","Monday","TQQQ","Buy_on_Dip",57.2872,"2%",1,57.2872,143,10303.6184,8546.0687,59.7627,58.4564,55.93343660814082
"2025-04-01","Monday","TQQQ","Buy_on_Dip",56.7027,"3%",1,56.7027,144,10360.3211,8605.8314,59.7627,58.4564,55.93343660814082
"2025-04-01","Monday","TQQQ","Buy_on_Dip",56.1181,"4%",1,56.1181,145,10416.4392,8665.5941,59.7627,58.4564,55.93343660814082
"2025-04-02","Tuesday","TQQQ","Buy_on_Dip",59.1651,"1%",1,59.1651,146,10475.6043,7323.3015,50.1596,59.7627,49.97013101138364
"2025-04-02","Tuesday","TQQQ","Buy_on_Dip",58.5675,"2%",1,58.5675,147,10534.1717,7373.4611,50.1596,59.7627,49.97013101138364
"2025-04-02","Tuesday","TQQQ","Buy_on_Dip",57.9698,"3%",1,57.9698,148,10592.1416,7423.6207,50.1596,59.7627,49.97013101138364
"2025-04-02","Tuesday","TQQQ","Buy_on_Dip",57.3722,"4%",1,57.3722,149,10649.5138,7473.7803,50.1596,59.7627,49.97013101138364
"2025-04-02","Tuesday","TQQQ","Buy_on_Dip",56.7746,"5%",1,56.7746,150,10706.2884,7523.9399,50.1596,59.7627,49.97013101138364
"2025-04-03","Wednesday","TQQQ","Buy_on_Dip",49.658,"1%",1,49.658,151,10755.9464,6187.2714,40.9753,50.1596,40.91547357047044
