Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2021-09-20,Monday,ALLY,DCA_Weekly,44.71,25.00,0.55912068,363.39112171,7125.00,16248.33,44.71
2021-09-27,Monday,ALLY,DCA_Weekly,46.69,25.00,0.53545030,363.92657201,7150.00,16991.61,46.69
2021-10-04,Monday,ALLY,DCA_Weekly,46.29,25.00,0.54008359,364.46665559,7175.00,16870.84,46.29
2021-10-11,Monday,ALLY,DCA_Weekly,45.66,25.00,0.54749893,365.01415453,7200.00,16667.35,45.66
2021-10-18,Monday,ALLY,DCA_Weekly,47.77,25.00,0.52334748,365.53750201,7225.00,17461.51,47.77
2021-10-25,Monday,ALLY,DCA_Weekly,44.72,25.00,0.55901171,366.09651371,7250.00,16372.49,44.72
2021-11-01,Monday,ALLY,DCA_Weekly,43.09,25.00,0.58015621,366.67666992,7275.00,15800.77,43.09
2021-11-08,Monday,ALLY,DCA_Weekly,43.17,25.00,0.57909765,367.25576757,7300.00,15854.66,43.17
2021-11-15,Monday,ALLY,DCA_Weekly,43.70,25.00,0.57202260,367.82779017,7325.00,16075.75,43.70
2021-11-22,Monday,ALLY,DCA_Weekly,42.90,25.00,0.58276046,368.41055063,7350.00,15804.54,42.90
2021-11-29,Monday,ALLY,DCA_Weekly,41.76,25.00,0.59863956,369.00919019,7375.00,15410.32,41.76
2021-12-06,Monday,ALLY,DCA_Weekly,41.17,25.00,0.60729525,369.61648544,7400.00,15215.68,41.17
2021-12-13,Monday,ALLY,DCA_Weekly,41.30,25.00,0.60536441,370.22184985,7425.00,15289.21,41.30
2021-12-20,Monday,ALLY,DCA_Weekly,39.42,25.00,0.63426811,370.85611796,7450.00,14617.48,39.42
2021-12-27,Monday,ALLY,DCA_Weekly,41.69,25.00,0.59964495,371.45576291,7475.00,15486.49,41.69
2022-01-03,Monday,ALLY,DCA_Weekly,42.52,25.00,0.58791867,372.04368158,7500.00,15820.37,42.52
2022-01-10,Monday,ALLY,DCA_Weekly,43.91,25.00,0.56939977,372.61308135,7525.00,16359.91,43.91
2022-01-24,Monday,ALLY,DCA_Weekly,40.86,25.00,0.61184857,373.22492992,7550.00,15249.89,40.86
2022-01-31,Monday,ALLY,DCA_Weekly,42.04,25.00,0.59467507,373.81960499,7575.00,15715.29,42.04
2022-02-07,Monday,ALLY,DCA_Weekly,42.45,25.00,0.58899737,374.40860236,7600.00,15891.78,42.45
2022-02-14,Monday,ALLY,DCA_Weekly,42.59,25.00,0.58704783,374.99565019,7625.00,15969.55,42.59
2022-02-28,Monday,ALLY,DCA_Weekly,43.96,25.00,0.56869518,375.56434537,7650.00,16509.91,43.96
2022-03-07,Monday,ALLY,DCA_Weekly,35.95,25.00,0.69536601,376.25971138,7675.00,13527.40,35.95
2022-03-14,Monday,ALLY,DCA_Weekly,36.69,25.00,0.68134181,376.94105319,7700.00,13830.84,36.69
2022-03-21,Monday,ALLY,DCA_Weekly,38.59,25.00,0.64789707,377.58895025,7725.00,14569.79,38.59
2022-03-28,Monday,ALLY,DCA_Weekly,38.60,25.00,0.64774914,378.23669940,7750.00,14598.12,38.60
2022-04-04,Monday,ALLY,DCA_Weekly,38.27,25.00,0.65326628,378.88996568,7775.00,14499.83,38.27
2022-04-11,Monday,ALLY,DCA_Weekly,37.54,25.00,0.66599135,379.55595703,7800.00,14247.78,37.54
2022-04-18,Monday,ALLY,DCA_Weekly,38.55,25.00,0.64848926,380.20444629,7825.00,14657.31,38.55
2022-04-25,Monday,ALLY,DCA_Weekly,37.04,25.00,0.67502107,380.87946736,7850.00,14106.21,37.04
2022-05-02,Monday,ALLY,DCA_Weekly,36.03,25.00,0.69391620,381.57338356,7875.00,13747.10,36.03
2022-05-09,Monday,ALLY,DCA_Weekly,36.03,25.00,0.69391620,382.26729977,7900.00,13772.10,36.03
2022-05-16,Monday,ALLY,DCA_Weekly,34.37,25.00,0.72742053,382.99472030,7925.00,13162.77,34.37
2022-05-23,Monday,ALLY,DCA_Weekly,35.84,25.00,0.69752407,383.69224437,7950.00,13751.94,35.84
2022-06-06,Monday,ALLY,DCA_Weekly,37.78,25.00,0.66180399,384.35404836,7975.00,14519.18,37.78
2022-06-13,Monday,ALLY,DCA_Weekly,30.51,25.00,0.81945895,385.17350731,8000.00,11750.85,30.51
